CusId,Name,Longitude,Latitude
CUS103,CUS103,-70.136,-20.241
CUS030,CUS030,-70.37403,-23.58506
CUS009,CUS009,-70.28459,-22.93425
CUS015,CUS015,-68.9305,-22.4349
CUS063,CUS063,-70.3824,-23.6155
CUS109,CUS109,-70.73748,-34.14107
CUS003,CUS003,-68.9394,-22.4591
CUS013,CUS013,-70.3828,-23.5928
CUS025,CUS025,-68.92239,-22.44855
CUS037,CUS037,-70.19969,-22.08289
CUS057,CUS057,-68.93101,-22.47446
CUS029,CUS029,-68.31387,-22.81865
CUS024,CUS024,-70.3937,-23.6266
CUS061,CUS061,-70.39547,-23.55067
CUS020,CUS020,-70.37403,-23.58506
CUS051,CUS051,-70.3728,-23.60361
CUS114,CUS114,-70.40035,-23.66491
CUS026,CUS026,-70.39625,-23.54191
CUS049,CUS049,-70.37469,-23.61765
CUS028,CUS028,-70.39194,-23.6006
CUS059,CUS059,-70.20034,-22.09259
CUS047,CUS047,-68.91924,-22.45099
CUS075,CUS075,-70.39492,-23.53078
CUS032,CUS032,-68.92802,-22.45872
CUS064,CUS064,-70.38158,-23.61905
CUS042,CUS042,-70.39414,-23.62746
CUS031,CUS031,-68.9337,-22.4527
CUS091,CUS091,-70.1947,-22.08252
CUS072,CUS072,-68.9255,-22.4593
CUS056,CUS056,-68.93266,-22.46805
CUS012,CUS012,-70.39479,-23.62664
CUS067,CUS067,-70.4294,-23.44315
CUS050,CUS050,-68.91326,-22.48184
CUS053,CUS053,-68.93462,-22.45403
CUS045,CUS045,-70.40663,-23.67223
CUS069,CUS069,-70.39998,-23.65657
CUS089,CUS089,-68.92356,-22.46475
CUS129,CUS129,-70.73748,-34.14107
CUS074,CUS074,-68.9222,-22.4907
CUS068,CUS068,-70.3998,-23.6457
CUS070,CUS070,-70.41522,-23.68522
CUS084,CUS084,-70.40187,-23.65954
CUS079,CUS079,-70.40263,-23.6475
CUS035,CUS035,-69.09952,-22.49986
CUS080,CUS080,-70.40112,-23.66728
CUS021,CUS021,-69.08007,-22.47522
CUS018,CUS018,-70.40363,-23.69805
CUS073,CUS073,-68.92003,-22.45415
CUS066,CUS066,-70.40143,-23.65407
CUS046,CUS046,-68.79603,-22.31012
CUS002,CUS002,-68.89633,-22.44217
CUS086,CUS086,-70.43623,-23.10795
CUS016,CUS016,-70.74308,-33.42574
CUS022,CUS022,-70.19924,-22.08351
CUS052,CUS052,-70.3962,-23.6507
CUS005,CUS005,-68.91999,-22.44858
CUS004,CUS004,-70.3955,-23.6381
CUS040,CUS040,-70.3902,-23.60992
CUS019,CUS019,-68.91674,-22.4853
CUS011,CUS011,-70.39079,-23.56499
CUS023,CUS023,-70.39797,-23.65042
CUS065,CUS065,-70.28845,-23.66951
CUS077,CUS077,-70.4036,-23.6615
CUS044,CUS044,-70.39804,-23.65047
CUS027,CUS027,-70.39521,-23.6519
CUS094,CUS094,-70.39045,-23.57962
CUS001,CUS001,-70.39047,-23.57948
CUS078,CUS078,-70.40462,-23.66766
CUS007,CUS007,-68.91655,-22.45379
CUS082,CUS082,-68.9223,-22.45421
CUS036,CUS036,-70.3966,-23.6517
CUS041,CUS041,-70.40817,-23.67555
CUS014,CUS014,-70.3967,-23.6519
CUS008,CUS008,-70.3807,-23.5911
CUS048,CUS048,-68.9283,-22.4485
CUS010,CUS010,-68.93142,-22.47233
CUS107,CUS107,-70.403,-23.6599
CUS096,CUS096,-70.43627,-23.10793
CUS055,CUS055,-70.38913,-23.57561
CUS058,CUS058,-69.1281,-22.52494
CUS076,CUS076,-70.43518,-23.09425
CUS038,CUS038,-70.3919,-23.5989
CUS006,CUS006,-70.40292,-23.64788
CUS043,CUS043,-68.92735,-22.44341
CUS071,CUS071,-70.45366,-23.10365
CUS017,CUS017,-70.31325,-23.86271
CUS062,CUS062,-70.39955,-23.64547
CUS115,CUS115,-70.31745,-23.77757
CUS034,CUS034,-68.92153,-22.45309
CUS039,CUS039,-68.92716,-22.44392
