"PoOrderId","PoOrderLineId","PoSupplierId","PoEnteredDate","PoExpectedDate","PoProductId","PoQuantity","PoInKg","PoInCarton","PoSupplierUnit","PoUnitCost"
4409,4409,"SU004",2017-08-01,2017-08-09,"SKU09",685.44,685.44,136,"Kg",114173
4410,4410,"SU004",2017-08-01,2017-08-10,"SKU09",70.56,70.56,14,"Kg",114173
4428,4428,"SU003",2017-08-01,2017-08-10,"SKU07",75.6,75.6,27,"Kg",25000
4429,4429,"SU003",2017-08-01,2017-08-10,"SKU07",61.6,61.6,22,"Kg",25000
4459,4459,"SU003",2017-08-01,2017-08-06,"SKU05",40,172.8,40,"Car",64800
4460,4460,"SU003",2017-08-01,2017-08-07,"SKU05",6,25.92,6,"Car",64800
4488,4488,"SU002",2017-08-01,2017-08-10,"SKU02",1911,23574,1911,"Car",69895.4913657771
4530,4530,"SU002",2017-08-01,2017-08-08,"SKU15",73.44,73.44,17,"Kg",25250
4531,4531,"SU002",2017-08-01,2017-08-10,"SKU15",12.96,12.96,3,"Kg",25250
4532,4532,"SU002",2017-08-01,2017-08-06,"SKU15",8.64,8.64,2,"Kg",25250
4585,4585,"SU002",2017-08-01,2017-08-03,"SKU17",95.04,95.04,22,"Kg",23000
4586,4586,"SU002",2017-08-01,2017-08-07,"SKU17",4.32,4.32,1,"Kg",23000
4587,4587,"SU002",2017-08-01,2017-08-09,"SKU17",4.32,4.32,1,"Kg",23000
4658,4658,"SU001",2017-08-01,2017-08-09,"SKU01",7,21,7,"Car",19929
4659,4659,"SU001",2017-08-01,2017-08-06,"SKU01",4244,12732,4244,"Car",19929
4688,4688,"SU002",2017-08-01,2017-08-10,"SKU03",1166,3498,1166,"Car",18300
47914,47914,"SU003",2017-08-02,2017-08-09,"SKU07",100.8,100.8,36,"Kg",25000
47917,47917,"SU004",2017-08-02,2017-08-10,"SKU08",318.24,318.24,51,"Kg",7544
47918,47918,"SU004",2017-08-02,2017-08-04,"SKU08",12.48,12.48,2,"Kg",7544
47929,47929,"SU003",2017-08-02,2017-08-11,"SKU05",32,138.24,32,"Car",64800
47930,47930,"SU003",2017-08-02,2017-08-10,"SKU14",47.52,47.52,8,"Kg",14000
47931,47931,"SU003",2017-08-02,2017-08-11,"SKU14",5.94,5.94,1,"Kg",14000
90607,90607,"SU004",2017-08-03,2017-08-05,"SKU09",35.28,35.28,7,"Kg",114173
90608,90608,"SU004",2017-08-03,2017-08-05,"SKU09",282.24,282.24,56,"Kg",114173
90616,90616,"SU003",2017-08-03,2017-08-04,"SKU07",58.8,58.8,21,"Kg",25000
90617,90617,"SU003",2017-08-03,2017-08-08,"SKU07",42,42,15,"Kg",25000
90629,90629,"SU003",2017-08-03,2017-08-09,"SKU06",551.76,551.76,88,"Kg",12195
90653,90653,"SU003",2017-08-03,2017-08-09,"SKU05",36,155.52,36,"Car",64800
90654,90654,"SU003",2017-08-03,2017-08-08,"SKU05",2,8.64,2,"Car",64800
90655,90655,"SU003",2017-08-03,2017-08-09,"SKU14",89.1,89.1,15,"Kg",14000
90678,90678,"SU002",2017-08-03,2017-08-04,"SKU02",1998,24647,1998,"Car",69894.8458458458
90721,90721,"SU002",2017-08-03,2017-08-08,"SKU15",8.64,8.64,2,"Kg",25250
90722,90722,"SU002",2017-08-03,2017-08-08,"SKU15",69.12,69.12,16,"Kg",25250
90767,90767,"SU002",2017-08-03,2017-08-05,"SKU17",86.4,86.4,20,"Kg",23000
90768,90768,"SU002",2017-08-03,2017-08-08,"SKU17",4.32,4.32,1,"Kg",23000
90769,90769,"SU002",2017-08-03,2017-08-11,"SKU17",4.32,4.32,1,"Kg",23000
90836,90836,"SU001",2017-08-03,2017-08-04,"SKU01",5,15,5,"Car",19929
132411,132411,"SU001",2017-08-04,2017-08-12,"SKU01",1895,5685,1895,"Car",19929
132427,132427,"SU002",2017-08-04,2017-08-05,"SKU03",1185,3555,1185,"Car",18300
132458,132458,"SU003",2017-08-04,2017-08-13,"SKU07",120.4,120.4,43,"Kg",25000
132461,132461,"SU004",2017-08-04,2017-08-06,"SKU08",287.04,287.04,46,"Kg",7544
132462,132462,"SU004",2017-08-04,2017-08-09,"SKU08",6.24,6.24,1,"Kg",7544
132475,132475,"SU003",2017-08-04,2017-08-13,"SKU05",25,108,25,"Car",64800
132545,132545,"SU002",2017-08-04,2017-08-11,"SKU17",30.24,30.24,7,"Kg",23000
177926,177926,"SU001",2017-08-05,2017-08-10,"SKU01",5,15,5,"Car",19929
177953,177953,"SU002",2017-08-05,2017-08-11,"SKU03",666,1998,666,"Car",18300
177977,177977,"SU003",2017-08-05,2017-08-13,"SKU07",50.4,50.4,18,"Kg",25000
177978,177978,"SU003",2017-08-05,2017-08-10,"SKU07",50.4,50.4,18,"Kg",25000
177979,177979,"SU003",2017-08-05,2017-08-12,"SKU07",5.6,5.6,2,"Kg",25000
