"RoOrderLineId","PoOrderLineId","RoSupplierId","RoDepartureDate","RoArrivalDate","RoProductId","RoInKg","RoInCarton","RoSupplierQty","RoSupplierUnit"
29293,4659,"SU001",2017-08-02,2017-08-03,"SKU01",3000,1000,1000,"Car"
29294,4659,"SU001",2017-08-02,2017-08-03,"SKU01",2997,999,999,"Car"
29295,4659,"SU001",2017-08-02,2017-08-03,"SKU01",2997,999,999,"Car"
29296,4659,"SU001",2017-08-02,2017-08-03,"SKU01",3000,1000,1000,"Car"
29298,4688,"SU002",2017-08-02,2017-08-03,"SKU03",2108,702.67,702.67,"Car"
29308,4659,"SU001",2017-08-02,2017-08-03,"SKU01",738,246,246,"Car"
29323,4409,"SU004",2017-08-02,2017-08-03,"SKU09",685.44,136,685.44,"Kg"
29369,4459,"SU003",2017-08-02,2017-08-03,"SKU05",172.8,40,40,"Car"
29393,4428,"SU003",2017-08-02,2017-08-03,"SKU07",75.6,27,75.6,"Kg"
29411,4585,"SU002",2017-08-02,2017-08-03,"SKU17",95.04,22,95.04,"Kg"
29412,4429,"SU003",2017-08-02,2017-08-03,"SKU07",61.6,22,61.6,"Kg"
29424,4530,"SU002",2017-08-02,2017-08-03,"SKU15",73.44,17,73.44,"Kg"
29438,4410,"SU004",2017-08-02,2017-08-03,"SKU09",70.56,14,70.56,"Kg"
29485,4460,"SU003",2017-08-02,2017-08-03,"SKU05",25.92,6,6,"Car"
29540,4531,"SU002",2017-08-02,2017-08-03,"SKU15",12.96,3,12.96,"Kg"
29568,4532,"SU002",2017-08-02,2017-08-03,"SKU15",8.64,2,8.64,"Kg"
29580,4587,"SU002",2017-08-02,2017-08-03,"SKU17",4.32,1,4.32,"Kg"
29590,4586,"SU002",2017-08-02,2017-08-03,"SKU17",4.32,1,4.32,"Kg"
68707,47917,"SU004",2017-08-03,2017-08-04,"SKU08",318.24,51,318.24,"Kg"
68713,47914,"SU003",2017-08-03,2017-08-04,"SKU07",100.8,36,100.8,"Kg"
68715,47929,"SU003",2017-08-03,2017-08-04,"SKU05",138.24,32,32,"Car"
68763,47930,"SU003",2017-08-03,2017-08-04,"SKU14",47.52,8,47.52,"Kg"
68775,47918,"SU004",2017-08-03,2017-08-04,"SKU08",12.48,2,12.48,"Kg"
68782,47931,"SU003",2017-08-03,2017-08-04,"SKU14",5.94,1,5.94,"Kg"
106603,90629,"SU003",2017-08-04,2017-08-05,"SKU06",551.76,88,551.76,"Kg"
106618,90608,"SU004",2017-08-04,2017-08-05,"SKU09",282.24,56,282.24,"Kg"
106632,90653,"SU003",2017-08-04,2017-08-05,"SKU05",155.52,36,36,"Car"
106660,90616,"SU003",2017-08-04,2017-08-05,"SKU07",58.8,21,58.8,"Kg"
106661,90767,"SU002",2017-08-04,2017-08-05,"SKU17",86.4,20,86.4,"Kg"
106685,90722,"SU002",2017-08-04,2017-08-05,"SKU15",69.12,16,69.12,"Kg"
106688,90617,"SU003",2017-08-04,2017-08-05,"SKU07",42,15,42,"Kg"
106692,90655,"SU003",2017-08-04,2017-08-05,"SKU14",89.1,15,89.1,"Kg"
106735,90607,"SU004",2017-08-04,2017-08-05,"SKU09",35.28,7,35.28,"Kg"
106786,90721,"SU002",2017-08-04,2017-08-05,"SKU15",8.64,2,8.64,"Kg"
106790,90654,"SU003",2017-08-04,2017-08-05,"SKU05",8.64,2,2,"Car"
106809,90768,"SU002",2017-08-04,2017-08-05,"SKU17",4.32,1,4.32,"Kg"
106810,90769,"SU002",2017-08-04,2017-08-05,"SKU17",4.32,1,4.32,"Kg"
145803,132411,"SU001",2017-08-05,2017-08-06,"SKU01",3000,1000,1000,"Car"
145804,132411,"SU001",2017-08-05,2017-08-06,"SKU01",2685,895,895,"Car"
145846,132461,"SU004",2017-08-05,2017-08-06,"SKU08",287.04,46,287.04,"Kg"
145851,132458,"SU003",2017-08-05,2017-08-06,"SKU07",120.4,43,120.4,"Kg"
145872,132475,"SU003",2017-08-05,2017-08-06,"SKU05",108,25,25,"Car"
145932,132545,"SU002",2017-08-05,2017-08-06,"SKU17",30.24,7,30.24,"Kg"
145967,132462,"SU004",2017-08-05,2017-08-06,"SKU08",6.24,1,6.24,"Kg"
178824,177997,"SU003",2017-08-06,2017-08-07,"SKU05",181.44,42,42,"Car"
