"SoOrderLineId","SoOrderId","SoEnteredDate","SoExpectedDate","SoCustomerId","SoProductId","SoQuantity","SoInKg","SoInCarton","SoUnitCost","SoSalesUnit"
2082,37,2017-08-02,2017-08-02,"CUS009","SKU19",6,6,1,106684.307692308,"Kg"
2083,37,2017-08-02,2017-08-02,"CUS009","SKU11",3.744,3.744,2,23577.8928571429,"Kg"
2094,37,2017-08-02,2017-08-02,"CUS009","SKU09",1.26,1.26,0.25,172811.983870968,"Kg"
2098,37,2017-08-02,2017-08-02,"CUS009","SKU04",5.652,5.652,3,24108.7142857143,"Kg"
2138,37,2017-08-02,2017-08-02,"CUS009","SKU14",0.66,0.66,0.11111,27312.7555555556,"Kg"
2154,37,2017-08-02,2017-08-02,"CUS009","SKU05",1.92,1.92,0.44444,27233.1621621622,"Kg"
2167,37,2017-08-02,2017-08-02,"CUS009","SKU06",1.254,1.254,0.2,26073.95,"Kg"
2168,37,2017-08-02,2017-08-02,"CUS009","SKU10",3.78,3.78,0.6,25938.6136363636,"Kg"
2185,38,2017-08-02,2017-08-02,"CUS015","SKU09",1.26,1.26,0.25,172811.983870968,"Kg"
2196,38,2017-08-02,2017-08-02,"CUS015","SKU01",45,45,15,12077.5,"Kg"
2262,38,2017-08-02,2017-08-02,"CUS015","SKU05",1.92,1.92,0.44444,27233.1621621622,"Kg"
2268,38,2017-08-02,2017-08-02,"CUS015","SKU04",3.768,3.768,2,24108.7142857143,"Kg"
2323,40,2017-08-02,2017-08-02,"CUS029","SKU09",5.04,5.04,1,172811.983870968,"Kg"
2349,41,2017-08-02,2017-08-02,"CUS020","SKU05",1.44,1.44,0.33333,27233.1621621622,"Kg"
2361,42,2017-08-02,2017-08-02,"CUS026","SKU10",2.52,2.52,0.4,25938.6136363636,"Kg"
2445,43,2017-08-02,2017-08-02,"CUS028","SKU05",1.44,1.44,0.33333,27233.1621621622,"Kg"
2490,43,2017-08-02,2017-08-02,"CUS028","SKU13",2.4,2.4,1,129717.741935484,"Kg"
2545,44,2017-08-02,2017-08-02,"CUS059","SKU17",0.48,0.48,0.11111,38995.5476190476,"Kg"
2557,45,2017-08-02,2017-08-02,"CUS025","SKU12",9.24,9.24,5,24372.1538461538,"Kg"
2558,45,2017-08-02,2017-08-02,"CUS025","SKU11",9.36,9.36,5,23577.8928571429,"Kg"
2564,45,2017-08-02,2017-08-02,"CUS025","SKU03",90,90,30,12122.1,"Kg"
2579,45,2017-08-02,2017-08-02,"CUS025","SKU01",150,150,50,12077.5,"Kg"
2581,45,2017-08-02,2017-08-02,"CUS025","SKU04",9.42,9.42,5,24108.7142857143,"Kg"
2632,47,2017-08-02,2017-08-02,"CUS003","SKU01",600,600,200,12077.5,"Kg"
2634,47,2017-08-02,2017-08-02,"CUS003","SKU06",25.08,25.08,4,26073.95,"Kg"
2692,48,2017-08-02,2017-08-02,"CUS037","SKU09",2.52,2.52,0.5,172811.983870968,"Kg"
2699,48,2017-08-02,2017-08-02,"CUS037","SKU06",3.762,3.762,0.6,26073.95,"Kg"
2700,48,2017-08-02,2017-08-02,"CUS037","SKU10",3.78,3.78,0.6,25938.6136363636,"Kg"
2706,49,2017-08-02,2017-08-02,"CUS024","SKU17",2.4,2.4,0.55556,38995.5476190476,"Kg"
2740,50,2017-08-02,2017-08-02,"CUS051","SKU01",12,12,4,12077.5,"Kg"
2765,51,2017-08-02,2017-08-02,"CUS030","SKU01",15,15,5,12077.5,"Kg"
2786,51,2017-08-02,2017-08-02,"CUS030","SKU11",3.744,3.744,2,23577.8928571429,"Kg"
2797,51,2017-08-02,2017-08-02,"CUS030","SKU04",3.768,3.768,2,24108.7142857143,"Kg"
2839,55,2017-08-02,2017-08-02,"CUS012","SKU09",5.04,5.04,1,172811.983870968,"Kg"
2847,55,2017-08-02,2017-08-02,"CUS012","SKU05",2.4,2.4,0.55556,27233.1621621622,"Kg"
2901,57,2017-08-02,2017-08-02,"CUS089","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
2935,60,2017-08-02,2017-08-02,"CUS022","SKU09",10.08,10.08,2,172811.983870968,"Kg"
2958,60,2017-08-02,2017-08-02,"CUS022","SKU16",12.552,12.552,1,15871.78125,"Kg"
2963,60,2017-08-02,2017-08-02,"CUS022","SKU02",148.03,148.03,12,12932.4226804124,"Kg"
2969,60,2017-08-02,2017-08-02,"CUS022","SKU05",4.32,4.32,1,27233.1621621622,"Kg"
3042,62,2017-08-02,2017-08-02,"CUS005","SKU10",12.6,12.6,2,25938.6136363636,"Kg"
3044,62,2017-08-02,2017-08-02,"CUS005","SKU08",18.72,18.72,3,21307.3684210526,"Kg"
3070,63,2017-08-02,2017-08-02,"CUS004","SKU08",137.28,137.28,22,21307.3684210526,"Kg"
3111,63,2017-08-02,2017-08-02,"CUS004","SKU05",8.64,8.64,2,27233.1621621622,"Kg"
3119,63,2017-08-02,2017-08-02,"CUS004","SKU14",11.88,11.88,2,27312.7555555556,"Kg"
3121,63,2017-08-02,2017-08-02,"CUS004","SKU07",33.6,33.6,12,48383.0327868852,"Kg"
3135,63,2017-08-02,2017-08-02,"CUS004","SKU15",17.28,17.28,4,37440.25,"Kg"
3148,63,2017-08-02,2017-08-02,"CUS004","SKU09",120.96,120.96,24,172811.983870968,"Kg"
3154,63,2017-08-02,2017-08-02,"CUS004","SKU20",20,20,2,37610.7857142857,"Kg"
3188,63,2017-08-02,2017-08-02,"CUS004","SKU06",37.62,37.62,6,26073.95,"Kg"
3189,63,2017-08-02,2017-08-02,"CUS004","SKU02",1850.4,1850.4,150,12932.4226804124,"Kg"
3199,63,2017-08-02,2017-08-02,"CUS004","SKU17",8.64,8.64,2,38995.5476190476,"Kg"
