"ToOrderLineId","SoOrderLineId","ToCustomerId","ToDepartureDate","ToArrivalDate","ToProductId","ToInKg","ToInCarton","ToQuantity","ToSalesUnit"
1903,2632,"CUS003",2017-08-02,2017-08-03,"SKU01",600,200,600,"Kg"
1907,2579,"CUS025",2017-08-02,2017-08-03,"SKU01",150,50,150,"Kg"
1916,2196,"CUS015",2017-08-02,2017-08-03,"SKU01",45,15,45,"Kg"
1990,2564,"CUS025",2017-08-02,2017-08-02,"SKU03",90,30,90,"Kg"
2015,4172,"CUS010",2017-08-02,2017-08-04,"SKU07",28,10,28,"Kg"
2046,2581,"CUS025",2017-08-02,2017-08-02,"SKU04",9.42,5,9.42,"Kg"
2047,2558,"CUS025",2017-08-02,2017-08-02,"SKU11",9.36,5,9.36,"Kg"
2049,2557,"CUS025",2017-08-02,2017-08-03,"SKU12",9.24,5,9.24,"Kg"
2059,4108,"CUS010",2017-08-02,2017-08-04,"SKU17",21.6,5,21.6,"Kg"
2078,4048,"CUS010",2017-08-02,2017-08-05,"SKU09",20.16,4,20.16,"Kg"
2083,4080,"CUS010",2017-08-02,2017-08-04,"SKU08",24.96,4,24.96,"Kg"
2084,2634,"CUS003",2017-08-02,2017-08-04,"SKU06",25.08,4,25.08,"Kg"
2111,3044,"CUS005",2017-08-02,2017-08-02,"SKU08",18.72,3,18.72,"Kg"
2121,4057,"CUS010",2017-08-02,2017-08-04,"SKU10",18.9,3,18.9,"Kg"
2160,3268,"CUS019",2017-08-02,2017-08-04,"SKU09",10.08,2,10.08,"Kg"
2207,2901,"CUS089",2017-08-02,2017-08-04,"SKU05",8.64,2,8.64,"Kg"
2219,3042,"CUS005",2017-08-02,2017-08-02,"SKU10",12.6,2,12.6,"Kg"
2226,2268,"CUS015",2017-08-02,2017-08-03,"SKU04",3.768,2,3.768,"Kg"
2235,3227,"CUS019",2017-08-02,2017-08-04,"SKU08",10.982,1.76,10.982,"Kg"
2253,3227,"CUS019",2017-08-02,2017-08-04,"SKU08",7.7376,1.24,7.7376,"Kg"
2276,4152,"CUS010",2017-08-02,2017-08-04,"SKU05",4.32,1,4.32,"Kg"
2299,2323,"CUS029",2017-08-02,2017-08-03,"SKU09",5.04,1,5.04,"Kg"
2303,3225,"CUS019",2017-08-02,2017-08-03,"SKU10",6.3,1,6.3,"Kg"
2304,4041,"CUS010",2017-08-02,2017-08-04,"SKU06",6.27,1,6.27,"Kg"
2316,4351,"CUS043",2017-08-02,2017-08-04,"SKU07",2.8,1,2.8,"Kg"
2327,4281,"CUS043",2017-08-02,2017-08-05,"SKU08",6.24,1,6.24,"Kg"
2370,4105,"CUS010",2017-08-02,2017-08-05,"SKU16",12.552,1,12.552,"Kg"
2411,4167,"CUS010",2017-08-02,2017-08-05,"SKU14",5.94,1,5.94,"Kg"
2466,2262,"CUS015",2017-08-02,2017-08-03,"SKU05",1.92,0.44444,1.92,"Kg"
2489,2185,"CUS015",2017-08-02,2017-08-02,"SKU09",1.26,0.25,1.26,"Kg"
2537,2349,"CUS020",2017-08-02,2017-08-03,"SKU05",1.44,0.33333,1.44,"Kg"
2557,2765,"CUS030",2017-08-02,2017-08-05,"SKU01",15,5,15,"Kg"
2564,2786,"CUS030",2017-08-02,2017-08-05,"SKU11",3.744,2,3.744,"Kg"
2566,2797,"CUS030",2017-08-02,2017-08-05,"SKU04",3.768,2,3.768,"Kg"
2642,2699,"CUS037",2017-08-02,2017-08-03,"SKU06",3.762,0.6,3.762,"Kg"
2644,2700,"CUS037",2017-08-02,2017-08-02,"SKU10",3.78,0.6,3.78,"Kg"
2655,2692,"CUS037",2017-08-02,2017-08-03,"SKU09",2.52,0.5,2.52,"Kg"
2723,4186,"CUS107",2017-08-02,2017-08-04,"SKU09",5.04,1,5.04,"Kg"
2732,2098,"CUS009",2017-08-02,2017-08-02,"SKU04",5.652,3,5.652,"Kg"
2751,2083,"CUS009",2017-08-02,2017-08-02,"SKU11",3.744,2,3.744,"Kg"
2760,2082,"CUS009",2017-08-02,2017-08-03,"SKU19",6,1,6,"Kg"
2769,2168,"CUS009",2017-08-02,2017-08-02,"SKU10",3.78,0.6,3.78,"Kg"
2785,2154,"CUS009",2017-08-02,2017-08-03,"SKU05",1.92,0.44444,1.92,"Kg"
2795,2094,"CUS009",2017-08-02,2017-08-02,"SKU09",1.26,0.25,1.26,"Kg"
2797,2167,"CUS009",2017-08-02,2017-08-03,"SKU06",1.254,0.2,1.254,"Kg"
2805,2138,"CUS009",2017-08-02,2017-08-02,"SKU14",0.66,0.11111,0.66,"Kg"
2842,2740,"CUS051",2017-08-02,2017-08-02,"SKU01",12,4,12,"Kg"
2927,2490,"CUS028",2017-08-02,2017-08-02,"SKU13",2.4,1,2.4,"Kg"
2961,2445,"CUS028",2017-08-02,2017-08-03,"SKU05",1.44,0.33333,1.44,"Kg"
3007,2545,"CUS059",2017-08-02,2017-08-03,"SKU17",0.48,0.11111,0.48,"Kg"
3042,2361,"CUS026",2017-08-02,2017-08-03,"SKU10",2.52,0.4,2.52,"Kg"
3104,2839,"CUS012",2017-08-02,2017-08-04,"SKU09",5.04,1,5.04,"Kg"
3115,2847,"CUS012",2017-08-02,2017-08-03,"SKU05",2.4,0.55556,2.4,"Kg"
3145,2706,"CUS024",2017-08-02,2017-08-02,"SKU17",2.4,0.55556,2.4,"Kg"
3185,3292,"CUS011",2017-08-02,2017-08-02,"SKU10",25.2,4,25.2,"Kg"
3186,3302,"CUS011",2017-08-02,2017-08-02,"SKU09",20.16,4,20.16,"Kg"
3188,3318,"CUS011",2017-08-02,2017-08-03,"SKU08",18.72,3,18.72,"Kg"
3226,3359,"CUS011",2017-08-02,2017-08-02,"SKU14",5.94,1,5.94,"Kg"
3237,3328,"CUS011",2017-08-02,2017-08-03,"SKU05",4.32,1,4.32,"Kg"
3266,4005,"CUS008",2017-08-02,2017-08-04,"SKU07",14,5,14,"Kg"
3283,3949,"CUS008",2017-08-02,2017-08-04,"SKU09",20.16,4,20.16,"Kg"
3290,3939,"CUS008",2017-08-02,2017-08-05,"SKU16",12.552,1,12.552,"Kg"
3301,4001,"CUS008",2017-08-02,2017-08-05,"SKU08",12.48,2,12.48,"Kg"
3324,4012,"CUS008",2017-08-02,2017-08-04,"SKU17",5.5106,1.2756,5.5106,"Kg"
3330,3997,"CUS008",2017-08-02,2017-08-05,"SKU06",6.27,1,6.27,"Kg"
3332,3999,"CUS008",2017-08-02,2017-08-04,"SKU05",4.32,1,4.32,"Kg"
3341,4038,"CUS008",2017-08-02,2017-08-05,"SKU10",6.3,1,6.3,"Kg"
3358,4013,"CUS008",2017-08-02,2017-08-05,"SKU14",5.2183,0.8785,5.2183,"Kg"
3361,4012,"CUS008",2017-08-02,2017-08-05,"SKU17",3.1294,0.7244,3.1294,"Kg"
3367,4013,"CUS008",2017-08-02,2017-08-05,"SKU14",0.72171,0.1215,0.72171,"Kg"
3370,3388,"CUS023",2017-08-02,2017-08-02,"SKU01",559.32,186.44,559.32,"Kg"
3375,3388,"CUS023",2017-08-02,2017-08-02,"SKU01",40.68,13.56,40.68,"Kg"
3384,3469,"CUS027",2017-08-02,2017-08-02,"SKU14",11.88,2,11.88,"Kg"
3407,3629,"CUS001",2017-08-02,2017-08-03,"SKU07",22.803,8.144,22.803,"Kg"
3408,3509,"CUS027",2017-08-02,2017-08-02,"SKU07",16.8,6,16.8,"Kg"
3442,3577,"CUS001",2017-08-02,2017-08-03,"SKU17",8.64,2,8.64,"Kg"
3453,3904,"CUS014",2017-08-02,2017-08-03,"SKU17",4.32,1,4.32,"Kg"
3463,3903,"CUS014",2017-08-02,2017-08-03,"SKU07",19.6,7,19.6,"Kg"
3465,4217,"CUS038",2017-08-02,2017-08-02,"SKU07",11.2,4,11.2,"Kg"
3467,3629,"CUS001",2017-08-02,2017-08-02,"SKU07",2.3968,0.856,2.3968,"Kg"
3487,3537,"CUS027",2017-08-02,2017-08-03,"SKU05",17.28,4,17.28,"Kg"
3514,3549,"CUS001",2017-08-02,2017-08-02,"SKU05",4.32,1,4.32,"Kg"
3516,3907,"CUS014",2017-08-02,2017-08-02,"SKU05",4.32,1,4.32,"Kg"
3543,3631,"CUS001",2017-08-02,2017-08-02,"SKU06",125.4,20,125.4,"Kg"
3546,3612,"CUS001",2017-08-02,2017-08-03,"SKU10",126,20,126,"Kg"
3586,3906,"CUS014",2017-08-02,2017-08-03,"SKU10",37.8,6,37.8,"Kg"
3610,3613,"CUS001",2017-08-02,2017-08-02,"SKU15",21.6,5,21.6,"Kg"
3623,3797,"CUS014",2017-08-02,2017-08-02,"SKU09",20.16,4,20.16,"Kg"
3638,3493,"CUS027",2017-08-02,2017-08-02,"SKU08",24.96,4,24.96,"Kg"
3696,3892,"CUS014",2017-08-02,2017-08-03,"SKU08",12.48,2,12.48,"Kg"
3753,3662,"CUS001",2017-08-02,2017-08-03,"SKU08",6.24,1,6.24,"Kg"
3782,3898,"CUS014",2017-08-02,2017-08-03,"SKU15",4.1999,0.9722,4.1999,"Kg"
3822,3790,"CUS041",2017-08-02,2017-08-02,"SKU10",6.3,1,6.3,"Kg"
3826,3793,"CUS041",2017-08-02,2017-08-03,"SKU09",5.04,1,5.04,"Kg"
3828,3767,"CUS041",2017-08-02,2017-08-02,"SKU05",4.32,1,4.32,"Kg"
3834,3773,"CUS041",2017-08-02,2017-08-02,"SKU06",6.27,1,6.27,"Kg"
3844,3783,"CUS041",2017-08-02,2017-08-03,"SKU16",12.552,1,12.552,"Kg"
3881,4250,"CUS006",2017-08-02,2017-08-02,"SKU17",4.32,1,4.32,"Kg"
3882,4269,"CUS006",2017-08-02,2017-08-02,"SKU09",5.04,1,5.04,"Kg"
3922,2958,"CUS022",2017-08-02,2017-08-03,"SKU16",12.552,1,12.552,"Kg"
3932,2969,"CUS022",2017-08-02,2017-08-03,"SKU05",4.32,1,4.32,"Kg"
3943,2935,"CUS022",2017-08-02,2017-08-04,"SKU09",10.08,2,10.08,"Kg"
3960,3416,"CUS044",2017-08-02,2017-08-03,"SKU13",4.8,2,4.8,"Kg"
3965,3418,"CUS044",2017-08-02,2017-08-04,"SKU07",5.6,2,5.6,"Kg"
3989,3453,"CUS044",2017-08-02,2017-08-04,"SKU06",6.27,1,6.27,"Kg"
4005,3702,"CUS036",2017-08-02,2017-08-02,"SKU09",5.04,1,5.04,"Kg"
4015,3712,"CUS036",2017-08-02,2017-08-02,"SKU08",6.24,1,6.24,"Kg"
4016,3713,"CUS036",2017-08-02,2017-08-02,"SKU07",2.8,1,2.8,"Kg"
4024,3694,"CUS036",2017-08-02,2017-08-02,"SKU06",6.27,1,6.27,"Kg"
4048,3121,"CUS004",2017-08-02,2017-08-03,"SKU07",26.268,9.3813,26.268,"Kg"
4074,3199,"CUS004",2017-08-02,2017-08-02,"SKU17",6.3234,1.4637,6.3234,"Kg"
4082,3070,"CUS004",2017-08-02,2017-08-02,"SKU08",35.859,5.7467,35.859,"Kg"
4098,3119,"CUS004",2017-08-02,2017-08-02,"SKU14",11.88,2,11.88,"Kg"
4108,3111,"CUS004",2017-08-02,2017-08-02,"SKU05",7.2965,1.689,7.2965,"Kg"
4113,3135,"CUS004",2017-08-02,2017-08-03,"SKU15",4.5952,1.0637,4.5952,"Kg"
4137,3121,"CUS004",2017-08-02,2017-08-03,"SKU07",7.3324,2.6187,7.3324,"Kg"
4171,3199,"CUS004",2017-08-02,2017-08-03,"SKU17",2.3168,0.5363,2.3168,"Kg"
4173,3070,"CUS004",2017-08-02,2017-08-03,"SKU08",101.42,16.253,101.42,"Kg"
