date,number
2020-03-18T11,100
2020-03-18T12,74
2020-03-18T13,92
2020-03-18T14,86
2020-03-18T15,84
2020-03-18T16,64
2020-03-18T17,57
2020-03-18T18,39
2020-03-18T19,54
2020-03-18T20,64
2020-03-18T21,63
2020-03-18T22,65
2020-03-18T23,63
2020-03-19T00,65
2020-03-19T01,42
2020-03-19T02,34
2020-03-19T03,28
2020-03-19T04,27
2020-03-19T05,24
2020-03-19T06,32
2020-03-19T07,39
2020-03-19T08,59
2020-03-19T09,82
2020-03-19T10,92
2020-03-19T11,92
2020-03-19T12,72
2020-03-19T13,90
2020-03-19T14,83
2020-03-19T15,82
2020-03-19T16,61
2020-03-19T17,52
2020-03-19T18,36
2020-03-19T19,52
2020-03-19T20,59
2020-03-19T21,60
2020-03-19T22,57
2020-03-19T23,56
2020-03-20T00,53
2020-03-20T01,41
2020-03-20T02,43
2020-03-20T03,26
2020-03-20T04,19
2020-03-20T05,22
2020-03-20T06,25
2020-03-20T07,40
2020-03-20T08,59
2020-03-20T09,85
2020-03-20T10,90
2020-03-20T11,92
2020-03-20T12,70
2020-03-20T13,76
2020-03-20T14,79
2020-03-20T15,78
2020-03-20T16,59
2020-03-20T17,50
2020-03-20T18,38
2020-03-20T19,53
2020-03-20T20,60
2020-03-20T21,62
2020-03-20T22,64
2020-03-20T23,60
2020-03-21T00,60
2020-03-21T01,44
2020-03-21T02,39
2020-03-21T03,45
2020-03-21T04,28
2020-03-21T05,27
2020-03-21T06,33
2020-03-21T07,41
2020-03-21T08,59
2020-03-21T09,68
2020-03-21T10,79
2020-03-21T11,80
2020-03-21T12,65
2020-03-21T13,68
2020-03-21T14,71
2020-03-21T15,76
2020-03-21T16,52
2020-03-21T17,50
2020-03-21T18,36
2020-03-21T19,55
2020-03-21T20,56
2020-03-21T21,66
2020-03-21T22,61
2020-03-21T23,47
2020-03-22T00,48
2020-03-22T01,44
2020-03-22T02,38
2020-03-22T03,31
2020-03-22T04,18
2020-03-22T05,23
2020-03-22T06,29
2020-03-22T07,45
2020-03-22T08,49
2020-03-22T09,56
2020-03-22T10,68
2020-03-22T11,70
2020-03-22T12,62
2020-03-22T13,66
2020-03-22T14,59
2020-03-22T15,65
2020-03-22T16,44
2020-03-22T17,44
2020-03-22T18,36
2020-03-22T19,56
2020-03-22T20,59
2020-03-22T21,68
2020-03-22T22,58
2020-03-22T23,56
2020-03-23T00,57
2020-03-23T01,43
2020-03-23T02,39
2020-03-23T03,40
2020-03-23T04,22
2020-03-23T05,25
2020-03-23T06,27
2020-03-23T07,41
2020-03-23T08,63
2020-03-23T09,78
2020-03-23T10,90
2020-03-23T11,91
2020-03-23T12,71
2020-03-23T13,77
2020-03-23T14,79
2020-03-23T15,77
2020-03-23T16,64
2020-03-23T17,51
2020-03-23T18,39
2020-03-23T19,49
2020-03-23T20,64
2020-03-23T21,64
2020-03-23T22,64
2020-03-23T23,60
2020-03-24T00,53
2020-03-24T01,35
2020-03-24T02,29
2020-03-24T03,31
2020-03-24T04,20
2020-03-24T05,23
2020-03-24T06,34
2020-03-24T07,42
2020-03-24T08,62
2020-03-24T09,83
2020-03-24T10,95
2020-03-24T11,95
2020-03-24T12,70
2020-03-24T13,81
2020-03-24T14,82
2020-03-24T15,77
2020-03-24T16,60
2020-03-24T17,50
2020-03-24T18,38
2020-03-24T19,49
2020-03-24T20,54
2020-03-24T21,61
2020-03-24T22,60
2020-03-24T23,59
2020-03-25T00,51
2020-03-25T01,41
2020-03-25T02,31
2020-03-25T03,29
2020-03-25T04,25
2020-03-25T05,32
2020-03-25T06,30
2020-03-25T07,43
2020-03-25T08,57
2020-03-25T09,75
2020-03-25T10,87
